,mean,std,skewness,missing_values,min,max
rostralmiddlefrontal,12583.914285714285,1991.7161701732919,0.14248198602926201,0.0,6166.0,19553.0
rostralmiddlefrontal_rh,13033.522077922078,2053.2098372010105,0.3475587626957272,0.0,7358.0,22785.0
caudalmiddlefrontal,5199.566233766233,957.2349238184454,0.35116435351325004,0.0,2562.0,8643.0
caudalmiddlefrontal_rh,4927.311688311688,944.2910874331791,0.3430178226468395,0.0,2522.0,8316.0
parsopercularis,3881.5506493506496,724.9159384857471,0.6880366536185407,0.0,2157.0,6970.0
parsopercularis_rh,3252.9766233766236,566.4389419636893,0.48198124868356823,0.0,1801.0,5568.0
parsorbitalis,2096.4675324675327,344.9361046060884,0.5553128844928433,0.0,978.0,3603.0
parsorbitalis_rh,2404.966233766234,380.2070384488416,0.32446261637956825,0.0,1235.0,3606.0
parstriangularis,3097.7012987012986,568.9970586327173,0.5521148735465599,0.0,1807.0,5148.0
parstriangularis_rh,3557.0805194805193,641.2943708331063,0.5569611742738769,0.0,2228.0,6321.0
lateralorbitofrontal,6702.124675324675,936.1411402217,-0.017692872740847656,0.0,2787.0,10025.0
lateralorbitofrontal_rh,6583.402597402597,901.765090030327,-0.09947199024560671,0.0,3108.0,9535.0
middletemporal,8966.503896103895,1680.1355229968276,0.3288903767239174,0.0,5228.0,14754.0
middletemporal_rh,9909.844155844155,1755.6523009101247,0.14834211248802487,0.0,4085.0,16264.0
superiorfrontal,18746.8025974026,2663.2047996128167,0.3385410975859495,0.0,10167.0,28919.0
superiorfrontal_rh,17932.85974025974,2641.4871671530623,0.6305281428479815,0.0,11348.0,33272.0
precentral,11849.25974025974,1700.663957371054,0.14152393540264024,0.0,7422.0,16912.0
precentral_rh,11592.574025974027,1706.2422024701707,0.11564152334824082,0.0,6322.0,16953.0
Left-Caudate,3140.305194805195,550.5240990354347,0.6704076324986111,0.0,1244.8,5429.4
Right-Caudate,3264.19974025974,583.9637502795506,0.4806498024938385,0.0,777.7,5998.1
rostralanteriorcingulate,2289.755844155844,479.34311891311273,0.11830062337104767,0.0,912.0,3571.0
rostralanteriorcingulate_rh,1701.3636363636363,430.40574089949405,-0.04259013800917347,0.0,385.0,3027.0
caudalanteriorcingulate,1507.812987012987,398.8404173058839,0.2830967829009691,0.0,437.0,2764.0
caudalanteriorcingulate_rh,1693.5246753246754,419.5212177279212,0.045301844045950425,0.0,345.0,3035.0
